央视频道,#genre#
CCTV-1综合,http://171.105.39.110:6060/bestv_live/cctv1hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-2财经,http://171.105.39.110:6060/bestv_live/cctv2hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-3综艺,http://171.105.39.110:6060/bestv_live/cctv38m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-4中文国际,http://171.105.39.110:6060/bestv_live/cctv4hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-5体育,http://171.105.39.110:6060/bestv_live/cctv58m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-5+体育赛事p,http://171.105.39.110:6060/bestv_live/cctv5phd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-6电影,http://171.105.39.110:6060/bestv_live/cctv6hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-7国防军事,http://171.105.39.110:6060/bestv_live/cctv7hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-8电视剧,http://171.105.39.110:6060/bestv_live/cctv8hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-9纪录,http://171.105.39.110:6060/bestv_live/cctv9hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-10科教,http://171.105.39.110:6060/bestv_live/cctv10hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-11戏曲,http://171.105.39.110:6060/bestv_live/cctv11hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-12社会与法,http://171.105.39.110:6060/bestv_live/cctv12hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-13新闻,http://171.105.39.110:6060/bestv_live/cctv13xwhd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-14 少儿,http://171.105.39.110:6060/bestv_live/cctv14sehd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-15音乐,http://171.105.39.110:6060/bestv_live/cctv15hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-16奥运,http://171.105.39.110:6060/bestv_live/cctv16hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-17农业农村,http://171.105.39.110:6060/bestv_live/cctv17hd8m/1.m3u8?Playtype=1&m3u8_level=2
CCTV-1 综合,http://171.105.39.110:6060/gitv_live/G_CCTV-1-HD-265-8M/G_CCTV-1-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-2 财经,http://171.105.39.110:6060/gitv_live/G_CCTV-2-HD-265-8M/G_CCTV-2-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-3 综艺,http://171.105.39.110:6060/gitv_live/G_CCTV-3-HD-265-8M/G_CCTV-3-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-4 中文国际,http://171.105.39.110:6060/gitv_live/G_CCTV-4-HD-265-8M/G_CCTV-4-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-5 体育,http://171.105.39.110:6060/gitv_live/G_CCTV-5-HD-265-8M/G_CCTV-5-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-5+ 体育赛事,http://171.105.39.110:6060/gitv_live/G_CCTV-5PLUS-HD-265-8M/G_CCTV-5PLUS-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-6 电影,http://171.105.39.110:6060/gitv_live/G_CCTV-6-HD-265-8M/G_CCTV-6-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-7 国防军事,http://171.105.39.110:6060/gitv_live/G_CCTV-7-HD-265-8M/G_CCTV-7-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-8 电视剧,http://171.105.39.110:6060/gitv_live/G_CCTV-8-HD-265-8M/G_CCTV-8-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-9 纪录,http://171.105.39.110:6060/gitv_live/G_CCTV-9-HD-265-8M/G_CCTV-9-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-10 科教,http://171.105.39.110:6060/gitv_live/G_CCTV-10-HD-265-8M/G_CCTV-10-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-11 戏曲,http://171.105.39.110:6060/gitv_live/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8?Playtype=1&m3u8_level=2
CCTV-12 社会与法,http://171.105.39.110:6060/gitv_live/G_CCTV-12-HD-265-8M/G_CCTV-12-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
CCTV-13 新闻,http://171.105.39.110:6060/gitv_live/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8?Playtype=1&m3u8_level=2
CCTV-14 少儿,http://171.105.39.110:6060/gitv_live/G_CCTV-14-CQ/G_CCTV-14-CQ.m3u8?Playtype=1&m3u8_level=2
CCTV-15 音乐,http://171.105.39.110:6060/gitv_live/G_CCTV-15-HQ/G_CCTV-15-HQ.m3u8?Playtype=1&m3u8_level=2
CCTV-16 奥运,http://171.105.39.110:6060/gitv_live/G_CCTV-16-4K/G_CCTV-16-4K.m3u8?Playtype=1&m3u8_level=2
CCTV-17 农业农村,http://171.105.39.110:6060/gitv_live/G_CCTV-17-CQ/G_CCTV-17-CQ.m3u8?Playtype=1&m3u8_level=2
CCTV4K,http://171.105.39.110:6060/gitv_live/G_CCTV-4K-HD/G_CCTV-4K-HD.m3u8?Playtype=1&m3u8_level=2
CCTV发现之旅,http://171.105.39.110:6060/gitv_live/G_FAXIANZL/G_FAXIANZL.m3u8?Playtype=1&m3u8_level=2
CCTV老故事,http://171.105.39.110:6060/gitv_live/G_LAOGUSHI/G_LAOGUSHI.m3u8?Playtype=1&m3u8_level=2
CETV-1,http://171.105.39.110:6060/gitv_live/G_CETV-1-HQ/G_CETV-1-HQ.m3u8?Playtype=1&m3u8_level=2
CETV-2,http://171.105.39.110:6060/gitv_live/G_CETV-2/G_CETV-2.m3u8?Playtype=1&m3u8_level=2
CETV-3,http://171.105.39.110:6060/gitv_live/G_CETV-3/G_CETV-3.m3u8?Playtype=1&m3u8_level=2
CETV-4,http://171.105.39.110:6060/gitv_live/G_CETV-4/G_CETV-4.m3u8?Playtype=1&m3u8_level=2
CGTN,http://171.105.39.110:6060/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8?Playtype=1&m3u8_level=2
CGTN法语,http://180.140.55.101:6610/gitv_live/G_CGTN-FRANCAIS/G_CGTN-FRANCAIS.m3u8?Playtype=1&m3u8_level=2
CGTN西班牙语,http://171.105.39.110:6060/gitv_live/G_CGTN-ESPANOL/G_CGTN-ESPANOL.m3u8?Playtype=1&m3u8_level=2
CGTN阿拉伯语,http://171.105.39.110:6060/gitv_live/G_CGTN_A/G_CGTN_A.m3u8?Playtype=1&m3u8_level=2
CGTN俄罗斯语,http://180.140.55.101:6610/gitv_live/G_CGTN-PYCCNN/G_CGTN-PYCCNN.m3u8?Playtype=1&m3u8_level=2




卫视频道,#genre#
中国教育4,http://171.105.39.110:6060/bestv_live/zgjy4hd8m/1.m3u8?Playtype=1&m3u8_level=2
广西卫视,http://171.105.39.110:6060/bestv_live/gxwshd8m/1.m3u8?Playtype=1&m3u8_level=2
广东卫视,http://171.105.39.110:6060/bestv_live/gdwshd8m/1.m3u8?Playtype=1&m3u8_level=2
深圳卫视,http://171.105.39.110:6060/bestv_live/szwshd8m/1.m3u8?Playtype=1&m3u8_level=2
海南卫视,http://171.105.39.110:6060/bestv_live/hainanwshd8m/1.m3u8?Playtype=1&m3u8_level=2
三沙卫视,http://171.105.39.110:6060/bestv_live/sswshd8m/1.m3u8?Playtype=1&m3u8_level=2
云南卫视,http://171.105.39.110:6060/bestv_live/ynwshd8m/1.m3u8?Playtype=1&m3u8_level=2
贵州卫视,http://171.105.39.110:6060/bestv_live/gzwshd8m/1.m3u8?Playtype=1&m3u8_level=2
东南卫视,http://171.105.39.110:6060/bestv_live/dnwshd8m/1.m3u8?Playtype=1&m3u8_level=2
江西卫视,http://171.105.39.110:6060/bestv_live/jxws8m/1.m3u8?Playtype=1&m3u8_level=2
安徽卫视,http://171.105.39.110:6060/bestv_live/ahwshd8m/1.m3u8?Playtype=1&m3u8_level=2
湖南卫视,http://171.105.39.110:6060/bestv_live/hunanwshd8m/1.m3u8?Playtype=1&m3u8_level=2
湖北卫视,http://171.105.39.110:6060/bestv_live/hubeiws8m/1.m3u8?Playtype=1&m3u8_level=2
河南卫视,http://171.105.39.110:6060/bestv_live/hnwshd8m/1.m3u8?Playtype=1&m3u8_level=2
河北卫视,http://171.105.39.110:6060/bestv_live/hbwshd8m/1.m3u8?Playtype=1&m3u8_level=2
重庆卫视,http://171.105.39.110:6060/bestv_live/cqws8m/1.m3u8?Playtype=1&m3u8_level=2
四川卫视,http://171.105.39.110:6060/bestv_live/scwshd/1.m3u8?Playtype=1&m3u8_level=2
浙江卫视,http://171.105.39.110:6060/bestv_live/zjwshd8m/1.m3u8?Playtype=1&m3u8_level=2
江苏卫视,http://171.105.39.110:6060/bestv_live/jswshd8m/1.m3u8?Playtype=1&m3u8_level=2
东方卫视,http://171.105.39.110:6060/bestv_live/dfwshd8m/1.m3u8?Playtype=1&m3u8_level=2
山东卫视,http://171.105.39.110:6060/bestv_live/sdws8m/1.m3u8?Playtype=1&m3u8_level=2
北京卫视,http://171.105.39.110:6060/bestv_live/bjwshd8m/1.m3u8?Playtype=1&m3u8_level=2
天津卫视,http://171.105.39.110:6060/bestv_live/tjwshd8m/1.m3u8?Playtype=1&m3u8_level=2
辽宁卫视,http://171.105.39.110:6060/bestv_live/lnwshd8m/1.m3u8?Playtype=1&m3u8_level=2
吉林卫视,http://171.105.39.110:6060/bestv_live/jlwshd8m/1.m3u8?Playtype=1&m3u8_level=2
黑龙江卫视,http://171.105.39.110:6060/bestv_live/hljwshd8m/1.m3u8?Playtype=1&m3u8_level=2
甘肃卫视,http://171.105.39.110:6060/bestv_live/gswshd8m/1.m3u8?Playtype=1&m3u8_level=2
卡酷少儿,http://171.105.39.110:6060/bestv_live/kkse8m/1.m3u8?Playtype=1&m3u8_level=2
哈哈炫动,http://171.105.39.110:6060/bestv_live/hhxd8m/1.m3u8?Playtype=1&m3u8_level=2
茶频道,http://171.105.39.110:6060/bestv_live/cpdhdavs8m/1.m3u8?Playtype=1&m3u8_level=2
快乐垂钓,http://171.105.39.110:6060/bestv_live/klcd8m/1.m3u8?Playtype=1&m3u8_level=2
都市剧场,http://171.105.39.110:6060/bestv_live/dsjc8m/1.m3u8?Playtype=1&m3u8_level=2
动漫秀场,http://171.105.39.110:6060/bestv_live/dmxc8m/1.m3u8?Playtype=1&m3u8_level=2
游戏风云,http://171.105.39.110:6060/bestv_live/yxfy8m/1.m3u8?Playtype=1&m3u8_level=2
法治天地,http://171.105.39.110:6060/bestv_live/fztd8m/1.m3u8?Playtype=1&m3u8_level=2
生活时尚,http://171.105.39.110:6060/bestv_live/shss8m/1.m3u8?Playtype=1&m3u8_level=2
东方财经,http://171.105.39.110:6060/bestv_live/dfcjhd8m/1.m3u8?Playtype=1&m3u8_level=2
金鹰纪实,http://171.105.39.110:6060/bestv_live/jyjs8m/1.m3u8?Playtype=1&m3u8_level=2

湖南卫视,http://171.105.39.110:6060/gitv_live/G_HUNAN-HD-265-8M/G_HUNAN-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
浙江卫视,http://171.105.39.110:6060/gitv_live/G_ZHEJIANG-HD-265-8M/G_ZHEJIANG-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
安徽卫视,http://171.105.39.110:6060/gitv_live/G_ANHUI-HD-265-8M/G_ANHUI-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
北京卫视,http://171.105.39.110:6060/gitv_live/G_BEIJING-HD-265-8M/G_BEIJING-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
广东卫视,http://171.105.39.110:6060/gitv_live/G_GUANGDONG-HD-265-8M/G_GUANGDONG-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
广西卫视,http://171.105.39.110:6060/gitv_live/G_GUANGXI-HQ/G_GUANGXI-HQ.m3u8?Playtype=1&m3u8_level=2
吉林卫视,http://171.105.39.110:6060/gitv_live/G_JILIN-CQ/G_JILIN-CQ.m3u8?Playtype=1&m3u8_level=2
嘉佳卡通,http://171.105.39.110:6060/gitv_live/G_JIAJIA/G_JIAJIA.m3u8?Playtype=1&m3u8_level=2
江苏卫视,http://171.105.39.110:6060/gitv_live/G_JIANGSU-HD-265-8M/G_JIANGSU-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
江西卫视,http://171.105.39.110:6060/gitv_live/G_JIANGXI-CQ/G_JIANGXI-CQ.m3u8?Playtype=1&m3u8_level=2
安多卫视,http://171.105.39.110:6060/gitv_live/G_ANDUO/G_ANDUO.m3u8?Playtype=1&m3u8_level=2
北京纪实,http://171.105.39.110:6060/gitv_live/G_BEIJINGJS-CQ/G_BEIJINGJS-CQ.m3u8?Playtype=1&m3u8_level=2
兵团卫视,http://171.105.39.110:6060/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8?Playtype=1&m3u8_level=2
大湾区卫视,http://171.105.39.110:6060/gitv_live/G_NANFANG/G_NANFANG.m3u8?Playtype=1&m3u8_level=2
东方卫视,http://171.105.39.110:6060/gitv_live/G_DONGFANG-HD-265-8M/G_DONGFANG-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
东南卫视,http://171.105.39.110:6060/gitv_live/G_DONGNAN-HQ/G_DONGNAN-HQ.m3u8?Playtype=1&m3u8_level=2
甘肃卫视,http://171.105.39.110:6060/gitv_live/G_GANSU-HQ/G_GANSU-HQ.m3u8?Playtype=1&m3u8_level=2
贵州卫视,http://171.105.39.110:6060/gitv_live/G_GUIZHOU-CQ/G_GUIZHOU-CQ.m3u8?Playtype=1&m3u8_level=2
海南卫视,http://171.105.39.110:6060/gitv_live/G_HAINAN-HQ/G_HAINAN-HQ.m3u8?Playtype=1&m3u8_level=2
河北卫视,http://171.105.39.110:6060/gitv_live/G_HEBEI-CQ/G_HEBEI-CQ.m3u8?Playtype=1&m3u8_level=2
河南卫视,http://171.105.39.110:6060/gitv_live/G_HENAN-CQ/G_HENAN-CQ.m3u8?Playtype=1&m3u8_level=2
黑龙江卫视,http://171.105.39.110:6060/gitv_live/G_HEILONGJIANG-HD-265-8M/G_HEILONGJIANG-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
湖北卫视,http://171.105.39.110:6060/gitv_live/G_HUBEI-HD-265-8M/G_HUBEI-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
金鹰卡通,http://171.105.39.110:6060/gitv_live/G_JINYING/G_JINYING.m3u8?Playtype=1&m3u8_level=2
卡酷少儿,http://171.105.39.110:6060/gitv_live/G_KAKU/G_KAKU.m3u8?Playtype=1&m3u8_level=2
康巴卫视,http://171.105.39.110:6060/gitv_live/G_KANGBA/G_KANGBA.m3u8?Playtype=1&m3u8_level=2
辽宁卫视,http://171.105.39.110:6060/gitv_live/G_LIAONING-HD-265-8M/G_LIAONING-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
内蒙古卫视,http://171.105.39.110:6060/gitv_live/G_NEIMENGGU/G_NEIMENGGU.m3u8?Playtype=1&m3u8_level=2
宁夏卫视,http://171.105.39.110:6060/gitv_live/G_NINGXIA/G_NINGXIA.m3u8?Playtype=1&m3u8_level=2
农林卫视,http://171.105.39.110:6060/gitv_live/G_NONGLIN/G_NONGLIN.m3u8?Playtype=1&m3u8_level=2
青海卫视,http://171.105.39.110:6060/gitv_live/G_QINGHAI/G_QINGHAI.m3u8?Playtype=1&m3u8_level=2
厦门卫视,http://171.105.39.110:6060/gitv_live/G_XIAMEN/G_XIAMEN.m3u8?Playtype=1&m3u8_level=2
山东卫视,http://171.105.39.110:6060/gitv_live/G_SHANDONG-HD-265-8M/G_SHANDONG-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
山东教育卫视,http://171.105.39.110:6060/gitv_live/G_SDETV/G_SDETV.m3u8?Playtype=1&m3u8_level=2
山西卫视,http://171.105.39.110:6060/gitv_live/SXWS/SXWS.m3u8?Playtype=1&m3u8_level=2
陕西卫视,http://171.105.39.110:6060/gitv_live/G_SHANXI/G_SHANXI.m3u8?Playtype=1&m3u8_level=2
上海纪实人文,http://171.105.39.110:6060/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD.m3u8?Playtype=1&m3u8_level=2
深圳卫视,http://171.105.39.110:6060/gitv_live/G_SHENZHEN-HD-265-8M/G_SHENZHEN-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
四川卫视,http://171.105.39.110:6060/gitv_live/G_SICHUAN-CQ/G_SICHUAN-CQ.m3u8?Playtype=1&m3u8_level=2
天津卫视,http://171.105.39.110:6060/gitv_live/G_TIANJIN-HD-265-8M/G_TIANJIN-HD-265-8M.m3u8?Playtype=1&m3u8_level=2
西藏卫视,http://171.105.39.110:6060/gitv_live/G_XIZANG/G_XIZANG.m3u8?Playtype=1&m3u8_level=2
新疆卫视,http://171.105.39.110:6060/gitv_live/G_XINJIANG/G_XINJIANG.m3u8?Playtype=1&m3u8_level=2
哈哈炫动,http://171.105.39.110:6060/gitv_live/G_XUANDONG/G_XUANDONG.m3u8?Playtype=1&m3u8_level=2
延边卫视,http://171.105.39.110:6060/gitv_live/G_YANBIAN/G_YANBIAN.m3u8?Playtype=1&m3u8_level=2
优漫卡通,http://171.105.39.110:6060/gitv_live/G_YOUMAN/G_YOUMAN.m3u8?Playtype=1&m3u8_level=2
云南卫视,http://171.105.39.110:6060/gitv_live/G_YUNNAN-HQ/G_YUNNAN-HQ.m3u8?Playtype=1&m3u8_level=2
重庆卫视,http://171.105.39.110:6060/gitv_live/G_CHONGQING-CQ/G_CHONGQING-CQ.m3u8?
